modelo,roc_auc_baseline,roc_auc_clean,diferencia,desv_diferencia,p_valor_pareado
logistic_regression,0.7406087458546475,0.7855439799182247,0.04493523406357711,0.003923264383821985,1.380550311665476e-05
random_forest,0.7776767296450828,0.7842863416884712,0.006609612043388368,0.0053045029086649246,0.04950250257806328
xgboost,0.7889867644881439,0.7978149119211386,0.008828147432994782,0.00402354643685869,0.008008232443362389
lightgbm,0.7799729749710369,0.7871870142498747,0.007214039278837903,0.0033853671718931224,0.008872934108173075
