modelo,preprocesamiento,roc_auc,roc_auc_std,pr_auc,f1_umbral_0.5,recall_umbral_0.5,umbral_optimo,f1_umbral_optimo,recall_umbral_optimo,run_id
xgboost,baseline,0.7889867644881439,0.012983602702204514,0.7028118312971474,0.6066383777522658,0.5449235048678721,0.3364057242870331,0.6574199091690193,0.7449235048678721,77ed83eb6bb04bb7b5a29a81a937de4b
lightgbm,baseline,0.7799729749710369,0.0117901415497005,0.6889798850353063,0.5972582290365709,0.5388038942976356,0.2895684639977133,0.6490417917340106,0.7819193324061197,19bbc7c40e3440e2b28ef0eec16169bb
random_forest,baseline,0.7776767296450828,0.0106455036919081,0.6887008577760781,0.5617598522779956,0.46620305980528515,0.35846025389338726,0.6454873646209386,0.7460361613351878,175412f16fe648a7b28de18189926710
logistic_regression,baseline,0.7406087458546475,0.007719436125986051,0.6471858953590119,0.5408536948886861,0.46620305980528515,0.33746589137285765,0.6126728110599079,0.7396383866481224,0133633d9f344e6cb15a831e6c966b84
xgboost,clean,0.7978149119211386,0.010143476186724064,0.7112593869801728,0.6162482593528724,0.5577190542420027,0.32906556129455566,0.664823939430357,0.7694019471488178,2d725be299694c45be5cee49ea101caa
lightgbm,clean,0.7871870142498747,0.00945824545901995,0.6969743137088178,0.6110884993373601,0.5546592489568845,0.30817516616182367,0.6550029958058717,0.7602225312934632,d1ce01226e60440ca78d3a014afd4309
logistic_regression,clean,0.7855439799182247,0.010642510453635843,0.6958340795057814,0.6002779017267315,0.5477051460361613,0.32712073105992856,0.6505854800936769,0.7727399165507649,8879936b91fd4138a533d9100234f86f
random_forest,clean,0.7842863416884712,0.0072582559277206,0.6896322604275664,0.5150725809027954,0.39443671766342137,0.35638467160212917,0.6504139834406624,0.7866481223922114,edeb698a0b304d92b8d47a14339e201f
